hs_code;producto;pais_destino;año;valor_export_usd;valor_import_pais_usd;crec_export_pct;crec_import_pct;part_mercado_pct;volatilidad;rca;tipo_cambio;pbi_percapita;score_oportunidad
'0804400000;"Aguacates ""paltas"", frescos o secos";España;2021;172135;488047;31.04963038;25.13865207;35.27016865;32.63944455;0.359192015;3.89;30799.47759;32.4523374
'0804400000;"Aguacates ""paltas"", frescos o secos";España;2022;132857;419857;-22.81813693;-13.97201499;31.64339287;32.63944455;0.244897504;3.84;30319.49872;18.85602731
'0804400000;"Aguacates ""paltas"", frescos o secos";España;2023;190281;561808;43.22241207;33.80936843;33.86940022;32.63944455;0.298406;3.74;33493.22254;34.70749353
'0804400000;"Aguacates ""paltas"", frescos o secos";España;2024;282101;688608;48.25494926;22.56998832;40.96684906;32.63944455;0.351430957;3.75;35326.76831;33.57662561
'0804400000;"Aguacates ""paltas"", frescos o secos";Estado Unidos;2021;184613;2886515;16.89027904;22.65865123;6.395705548;29.95072882;0.385229706;3.89;70205.05092;31.37908733
'0804400000;"Aguacates ""paltas"", frescos o secos";Estado Unidos;2022;222506;3117108;20.52564012;7.988629888;7.138219144;29.95072882;0.410148988;3.84;76657.24888;29.21553795
'0804400000;"Aguacates ""paltas"", frescos o secos";Estado Unidos;2023;133801;2857997;-39.86634068;-8.312544833;4.681635425;29.95072882;0.209831887;3.74;81032.26212;18.46929561
'0804400000;"Aguacates ""paltas"", frescos o secos";Estado Unidos;2024;163501;3574416;22.19714352;25.06717117;4.574201772;29.95072882;0.203683478;3.75;84534.04078;30.69876353
'0804400000;"Aguacates ""paltas"", frescos o secos";Paises Bajos;2021;339853;1227470;33.55956582;1.788705531;27.68727545;27.46114655;0.70916713;3.89;60141.98809;32.53183006
'0804400000;"Aguacates ""paltas"", frescos o secos";Paises Bajos;2022;263777;1209804;-22.38497233;-1.43922051;21.80328384;27.46114655;0.486224504;3.84;59123.31856;24.45826336
'0804400000;"Aguacates ""paltas"", frescos o secos";Paises Bajos;2023;296745;1550861;12.49843618;28.19109542;19.13420996;27.46114655;0.465366949;3.74;63515.60308;33.20677373
'0804400000;"Aguacates ""paltas"", frescos o secos";Paises Bajos;2024;408563;1795000;37.68151106;15.74215871;22.76116992;27.46114655;0.508972624;3.75;67520.4219;33.72607672
'080610;Uvas frescas;Estado Unidos;2021;488500;1980765;10.14854834;4.926682986;24.6621886;19.62789538;1.539172747;3.89;70205.05092;39.92368959
'080610;Uvas frescas;Estado Unidos;2022;640662;2436058;31.14882293;22.98571512;26.29912752;19.62789538;1.641506111;3.84;76657.24888;46.27434865
'080610;Uvas frescas;Estado Unidos;2023;883096;2720042;37.84117054;11.65752211;32.46626339;19.62789538;1.796165939;3.74;81032.26212;46.21075961
'080610;Uvas frescas;Estado Unidos;2024;838998;2544131;-4.993568083;-6.467216315;32.97778298;19.62789538;1.812419498;3.75;84534.04078;38.79812552
'080610;Uvas frescas;Mexico;2021;51968;145340;41.84180359;-25.18929158;35.75615797;27.42247534;0.163741513;3.89;10314.05067;23.35088462
'080610;Uvas frescas;Mexico;2022;75974;219756;46.19381158;51.20132104;34.57197983;27.42247534;0.194660812;3.84;11405.79405;38.34191659
'080610;Uvas frescas;Mexico;2023;133224;335180;75.35472662;52.52370811;39.74700161;27.42247534;0.270969873;3.74;13860.95978;42.12081442
'080610;Uvas frescas;Mexico;2024;144406;327973;8.393382574;-2.150187959;44.02984392;27.42247534;0.311948598;3.75;14185.78122;25.74807423
'080610;Uvas frescas;Paises Bajos;2021;172764;921680;27.70751251;15.26316513;18.74446663;22.71683296;0.544347268;3.89;60141.98809;33.92664771
'080610;Uvas frescas;Paises Bajos;2022;148141;759137;-14.25239054;-17.63551341;19.51439595;22.71683296;0.379567318;3.84;59123.31856;22.19333758
'080610;Uvas frescas;Paises Bajos;2023;195741;777331;32.13155035;2.396668849;25.18116478;22.71683296;0.398125818;3.74;63515.60308;30.62416041
'080610;Uvas frescas;Paises Bajos;2024;260325;621459;32.99462044;-20.05220427;41.88932818;22.71683296;0.562359035;3.75;67520.4219;28.0000916
