producto,pais_destino,score_promedio,rca_promedio,crec_demanda
"Arándanos rojos, mirtilos y demás frutos del género ""Vaccinium"", frescos",Estado Unidos,53.4,3.0,16.7
Minerales de cobre y sus concentrados,China,44.8,1.9,18.4
Uvas frescas,Estado Unidos,43.8,1.7,8.3
"Arándanos rojos, mirtilos y demás frutos del género ""Vaccinium"", frescos",Paises Bajos,41.5,1.2,11.7
Uvas frescas,Mexico,32.6,0.2,19.1
"Aguacates ""paltas"", frescos o secos",España,31.2,0.3,16.9
"Oro, incl. el oro platinado, en bruto, para uso no monetario (exc. en polvo)",India,30.6,0.1,39.2
"Aguacates ""paltas"", frescos o secos",Paises Bajos,30.4,0.5,11.1
Cobre refinado en forma de cátodos y de secciones de cátodos,China,30.1,0.5,6.1
Minerales de cobre y sus concentrados,Japon,29.8,0.1,11.8
"Aguacates ""paltas"", frescos o secos",Estado Unidos,29.0,0.3,11.9
Uvas frescas,Paises Bajos,28.5,0.5,-5.0
"Oro, incl. el oro platinado, en bruto, para uso no monetario (exc. en polvo)",Canada,28.0,0.1,6.1
"Arándanos rojos, mirtilos y demás frutos del género ""Vaccinium"", frescos",Hong Kong,27.7,0.4,39.5
Cobre refinado en forma de cátodos y de secciones de cátodos,EE.UU,26.3,0.1,28.3
Minerales de cobre y sus concentrados,Corea del Sur,25.3,0.1,7.1
"Oro, incl. el oro platinado, en bruto, para uso no monetario (exc. en polvo)",Suiza,25.3,0.1,4.5
Cobre refinado en forma de cátodos y de secciones de cátodos,Italia,23.7,0.1,19.8
